well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth
W0243,L01,240123.6602,120345.0288,810.0965
W0243,L19,240123.6602,120345.0288,810.0965
W0244,L01,240367.974,120641.4948,894.3365
W0245,L01,240121.1768,120546.115,835.6025
W0246,L01,239946.2342,121196.9539,892.3475
W0247,L01,240344.5888,121660.9506,880.9985
W0248,L01,238992.4335,119832.5162,852.509
W0249,L01,239919.4747,119497.3103,833.672
W0250,L01,239993.4526,119417.0221,891.119
W0251,L01,239920.2972,119507.2085,838.001
W0252,L01,239819.3912,119927.4587,835.427
W0253,L04,240982.1578,122210.2642,1039.943
W0254,L01,239821.1153,119938.0548,864.56
W0255,L04,240281.4777,119172.3075,1051.292
W0256,L04,239925.5564,119612.5568,1076.8565
W0257,L04,239919.4195,119596.2707,1111.8395
W0258,L04,239554.4025,119897.5003,1078.4945
W0259,L04,239548.3503,119900.9341,1120.088
W0260,L04,240261.3723,120068.3354,1076.9735
W0261,L04,240270.105,120065.1356,1116.227
W0262,L04,240431.4879,120480.1902,1051.7015
W0263,L01,240437.148,120471.4173,1005.6035
W0264,L03,240098.5804,117641.1588,1051.175
W0265,L04,239981.4647,120822.8129,950.204
W0265,L01,239981.4647,120822.8129,950.204
W0266,L04,239979.5427,120813.1173,1087.679
W0267,L04,239983.6472,120832.688,1050.2975
W0267,L03,239983.6472,120832.688,1050.2975
W0268,L04,239939.9216,121253.0484,1051.292
W0269,L04,239941.5415,121261.8447,1086.9185
W0270,L04,239942.7217,121270.7221,1121.726
W0271,L03,240124.5026,119430.0846,967.403
W0272,L03,240118.0655,119422.5392,1008.1775
W0273,L03,240222.1881,119863.9639,968.8655
W0274,L03,240220.7097,119873.4672,1000.046
W0275,L04,240063.8676,118375.3995,1038.656
W0275,L03,240063.8676,118375.3995,1038.656
W0276,L03,239873.9441,119695.2742,993.728
W0277,L02,239940.0537,119831.5244,928.9685
W0278,L02,239609.7659,119449.7134,920.72
W0279,L02,239611.0051,119458.1706,854.7905
W0279,L19,239611.0051,119458.1706,854.7905
W0280,L02,240691.7593,119322.2962,945.5825
