well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0533,L09,239785.8385,119155.6329,1451.6075,0.315,25.3,0.5364523
W0534,L09,239727.9435,120558.3279,1464.3605,0.315,19.49,0.5864204
W0535,L09,239724.7707,119988.9937,1455.4685,0.3525,35.26,0.5135021
W0536,L11,239785.5458,119652.0748,1581.3488,0.3775,0.0,0.4375171
W0537,L11,239886.2591,120873.2693,1596.3365,0.365,20.32,0.4863386
W0538,L10,239275.9282,118808.1298,1466.642,0.4025,21.98,0.4644986
W0539,L11,239244.4848,119493.703,1548.7175,0.365,28.62,0.5309741
W0540,L11,240416.9045,119615.5611,1572.41,0.39,26.13,0.4631973
W0541,L09,240289.9168,120290.4912,1438.0355,0.34,0.0,0.4976681
W0542,L09,240208.8131,119628.3736,1387.4915,0.39,35.26,0.3681842
W0543,L09,240739.2164,119585.1691,1474.0715,0.315,15.34,0.5707957
W0544,L09,241072.138,120580.7957,1485.8885,0.3525,34.43,0.4722609
W0545,L09,239410.6827,119642.306,1461.9035,0.3275,23.64,0.5609586
W0546,L09,240698.4892,118859.8197,1476.353,0.3025,23.64,0.5502297
W0547,L09,240953.1417,119243.7825,1479.161,0.34,21.98,0.55417
W0548,L09,240429.258,118555.7103,1474.832,0.3025,21.15,0.5331581
W0552,L08,241649.2008,122034.6691,1451.549,0.3525,22.81,0.5765014
W0553,L09,240550.6794,119648.3574,1442.2475,0.3525,19.49,0.5552347
W0554,L09,240501.7541,120817.5315,1448.2145,0.315,20.32,0.5702224
W0555,L09,240002.2349,118237.7791,1466.993,0.3025,19.49,0.543523
W0557,L09,239967.6936,118756.8989,1467.812,0.3275,21.98,0.5604217
W0558,L09,240287.8357,119136.2129,1437.9185,0.315,28.62,0.5443147
W0559,L09,240123.7019,120002.2879,1462.196,0.315,20.32,0.5659272
W0560,L09,240035.5396,120750.01,1474.8905,0.3275,19.49,0.5796136
W0561,L09,239836.4091,119653.4393,1458.2765,0.3525,28.62,0.5298639
W0565,L11,240984.0821,118283.8698,1640.855,0.365,22.81,0.4434503
W0566,L11,240364.4132,120235.9819,1592.417,0.3775,33.6,0.4325212
W0567,L11,240237.393,120438.6308,1563.6935,0.39,26.96,0.4523774
W0568,L11,239648.1776,120582.2491,1579.3715,0.3525,0.0,0.4805328
W0573,L11,239914.4178,120106.4033,1569.602,0.3775,27.79,0.4390004
W0574,L11,239907.9655,120074.5779,1590.0185,0.3775,25.3,0.4462895
W0575,L11,240970.8537,119160.9421,1561.646,0.39,28.62,0.4127105
W0576,L09,239625.9615,120733.72,1440.1415,0.34,20.32,0.5780211
W0577,L09,239159.5711,119144.2349,1469.333,0.315,18.66,0.5673923
W0578,L09,239010.4153,119665.9549,1469.1575,0.34,21.98,0.5702861
